,创建时间,地址,岗位,学历,工作经验,薪资水平
0,2021-12-28 13:59:10,杭州-上城区,Python开发工程师s,大专,3-4年经验,1.5-2.5万/月
1,2021-12-28 13:58:41,广州-黄埔区,Python开发工程师,本科,1年经验,1-1.5万/月
2,2021-12-28 13:58:31,上海-徐汇区,Python开发工程师 (MJ000132),大专,2年经验,1-1.5万/月
3,2021-12-28 13:54:48,福州-台江区,Python开发工程师,本科,2年经验,0.8-1.4万/月
4,2021-12-28 13:39:15,上海-浦东新区,（高级）AI人工智能平台工程师（Python）,本科,2年经验,2-3万/月
5,2021-12-28 13:27:17,杭州-滨江区,Python开发工程师,大专,2年经验,1-1.5万/月
6,2021-12-28 13:16:15,广州-南沙区,Python开发工程师,大专,1年经验,1-1.5万/月
7,2021-12-28 12:01:44,上海-浦东新区,Python高级开发工程师,大专,5-7年经验,1.5-2.5万/月
8,2021-12-28 10:51:34,广州-天河区,Python开发工程师,大专,2年经验,6-9千/月
9,2021-12-28 10:25:56,上海,高级python后端工程师,本科,5-7年经验,1.5-3万/月
10,2021-12-28 10:20:07,大连-沙河口区,Python开发工程师（互联网-本社自研）,大专,2年经验,1-2万/月
11,2021-12-28 09:59:02,深圳-福田区,Python开发工程师（南方基金）,本科,1年经验,0.8-1.2万/月
12,2021-12-28 09:52:24,苏州-工业园区,Python开发工程师,本科,1年经验,0.5-1万/月
13,2021-12-28 09:52:14,武汉-东湖新技术产业开发区,Python开发工程师,本科,3-4年经验,1-1.5万/月
14,2021-12-28 09:51:38,上海-徐汇区,Python开发工程师,大专,3-4年经验,1.5-2万/月
15,2021-12-28 09:41:02,深圳-龙华区,Python 开发工程师,大专,2年经验,1-1.5万/月
16,2021-12-28 09:38:29,宁波-海曙区,Python / Java 开发工程师 - 双休 海曙区,本科,2年经验,6-9千/月
17,2021-12-28 08:54:38,无锡-锡山区,软件开发(HTML5、.net、Python),招5人,无需经验,0.5-1万/月
18,2021-12-28 08:29:31,青岛-市北区,Python开发工程师,大专,2年经验,1.5-2.5万/月
19,2021-12-28 08:26:31,深圳-宝安区,python高级程序员,大专,5-7年经验,1.5-2万/月
20,2021-12-28 08:00:03,上海-徐汇区,Python开发工程师,本科,1年经验,1.5-2万/月
21,2021-12-28 04:19:10,东莞,Python开发工程师,本科,2年经验,1.5-2.5万/月
22,2021-12-28 04:19:09,深圳,Python开发工程师,本科,1年经验,2-2.5万/月
23,2021-12-28 04:07:55,上海,Python开发工程师,本科,2年经验,1-1.5万/月
24,2021-12-28 13:00:04,上海-嘉定区,python开发工程师(J13476),本科,1年经验,1-2万/月
25,2021-12-28 10:22:36,成都-高新区,Python开发工程师,大专,3-4年经验,1.1-1.6万/月
26,2021-12-28 04:00:33,深圳-福田区,Python开发工程师,本科,1年经验,1.2-2.4万/月
27,2021-12-28 13:38:12,成都-武侯区,Python开发工程师,本科,3-4年经验,1-1.5万/月
28,2021-12-28 13:33:09,上海-浦东新区,金融软件工程师(Python）,大专,2年经验,0.8-1.6万/月
29,2021-12-28 12:49:20,广州-天河区,Python开发工程师,大专,2年经验,0.9-1.1万/月
30,2021-12-28 10:47:01,北京-海淀区,python/C++后台开发工程师(派遣),本科,3-4年经验,2-2.5万/月
31,2021-12-28 10:46:20,北京-朝阳区,Python开发工程师,本科,3-4年经验,1.2-1.5万/月
32,2021-12-28 10:16:20,上海-浦东新区,Python 后端开发,本科,3-4年经验,1-1.4万/月
33,2021-12-28 10:13:33,成都-高新区,python开发助理,大专,无需经验,4-6千/月
34,2021-12-28 10:09:43,上海-徐汇区,Python数据挖掘工程师,大专,1年经验,0.6-1.2万/月
35,2021-12-28 09:53:13,上海-浦东新区,Python开发工程师,本科,3-4年经验,1.6-2万/月
36,2021-12-28 09:44:49,成都,Python开发工程师（成都）,本科,2年经验,0.8-1.5万/月
37,2021-12-28 09:42:02,北京-海淀区,Python开发工程师,本科,3-4年经验,1.5-2万/月
38,2021-12-28 09:31:00,上海-杨浦区,Python开发工程师,大专,2年经验,0.8-1.5万/月
39,2021-12-28 09:19:11,上海-浦东新区,Python开发工程师,本科,1年经验,1.5-3万/月
40,2021-12-28 09:19:09,上海-浦东新区,Python开发工程师,本科,3-4年经验,1-1.5万/月
41,2021-12-28 09:07:05,上海-浦东新区,Python开发工程师,本科,3-4年经验,1.3-2.5万/月
42,2021-12-28 09:05:31,广州-黄埔区,Python全栈开发,本科,2年经验,0.6-1.2万/月
43,2021-12-28 04:00:33,北京,Python开发工程师,本科,3-4年经验,1.5-2.5万/月
44,2021-12-28 04:00:33,济南,Python开发工程师,大专,无需经验,6-8千/月
45,2021-12-28 04:00:33,重庆,Python初级开发工程师（DX4dk）(J13046),本科,1年经验,0.8-1.4万/月
46,2021-12-28 04:00:33,上海-浦东新区,Python开发工程师,本科,3-4年经验,2-2.5万/月
47,2021-12-28 04:00:33,广州-天河区,Python高级开发工程师,本科,5-7年经验,2-3.5万/月
48,2021-12-28 04:00:33,上海-徐汇区,Python开发工程师,本科,3-4年经验,12-24万/年
49,2021-12-28 04:00:33,北京-海淀区,Python高级开发工程师,本科,5-7年经验,2.1-4万/月
50,2021-12-28 04:00:33,深圳-龙岗区,Python数据工程师,大专,2年经验,1-1.5万/月
51,2021-12-28 04:00:33,哈尔滨-南岗区,Python开发工程师,本科,2年经验,0.5-1万/月
52,2021-12-28 04:00:33,上海-闵行区,Python开发工程师(J10219),本科,3-4年经验,20-38万/年
53,2021-12-28 04:00:33,广州-天河区,Python开发工程师,本科,2年经验,1-1.5万/月
54,2021-12-28 04:00:33,深圳-南山区,Python开发工程师,大专,2年经验,0.9-1.5万/月
55,2021-12-28 04:00:33,上海-徐汇区,python开发工程师,本科,2年经验,1-1.5万/月
56,2021-12-28 04:00:33,深圳-福田区,python开发工程师,本科,无需经验,13-18万/年
57,2021-12-28 04:00:33,郑州-金水区,中高级python开发工程师,大专,3-4年经验,0.9-1.1万/月
58,2021-12-28 04:00:33,深圳-南山区,python爬虫工程师,本科,3-4年经验,1.2-1.8万/月
59,2021-12-28 04:00:33,重庆-渝北区,Python工程师,本科,3-4年经验,0.8-1.5万/月
60,2021-12-28 04:00:33,上海-闵行区,Python高级开发工程师,本科,5-7年经验,1.5-3万/月
61,2021-12-28 04:00:33,深圳,Python工程师,本科,无需经验,0.8-1.5万/月
62,2021-12-28 04:00:33,深圳,Python开发工程师,大专,1年经验,1-1.5万/月
63,2021-12-28 04:00:33,上海,Python开发工程师,大专,3-4年经验,1.4-1.8万/月
64,2021-12-28 04:00:33,上海-黄浦区,Python开发工程师,大专,2年经验,1.3-2万/月
65,2021-12-28 04:00:33,深圳-福田区,Python开发工程师,本科,2年经验,1.1-2万/月
66,2021-12-28 04:00:33,上海-浦东新区,Python开发工程师,大专,2年经验,1-1.5万/月
67,2021-12-28 04:00:00,深圳-光明区,python助理工程师,大专,1年经验,0.7-1万/月
68,2021-12-28 04:00:00,深圳-宝安区,Python开发工程师,本科,2年经验,1.2-1.8万/月
69,2021-12-28 10:01:04,深圳-南山区,Python开发工程师,大专,3-4年经验,1-1.5万/月
70,2021-12-28 04:00:33,深圳,移动端开发工程师（python/.net）,本科,3-4年经验,1-2万/月
71,2021-12-28 04:00:33,哈尔滨-南岗区,Python开发工程师助理,招若干人,无需经验,6-8千/月
72,2021-12-28 14:12:25,深圳-南山区,Python开发工程师,本科,3-4年经验,2.5-5万/月
73,2021-12-28 14:10:35,上海-闵行区,Python开发工程师,大专,3-4年经验,1.5-2万/月
74,2021-12-28 14:09:18,广州-天河区,Python开发工程师,大专,1年经验,6-9千/月
75,2021-12-28 14:09:03,深圳-南山区,Python后台开发工程师,本科,1年经验,1.5-2.5万/月
76,2021-12-28 14:06:40,苏州,Python开发工程师,大专,无需经验,6-8千/月
77,2021-12-28 14:06:03,上海-浦东新区,Python软件开发工程师,本科,2年经验,18-25万/年
78,2021-12-28 14:05:34,武汉-东湖新技术产业开发区,Python开发工程师,大专,1年经验,0.6-1.2万/月
79,2021-12-28 14:02:25,郑州,Python开发工程师,大专,无需经验,6-8千/月
80,2021-12-28 14:02:08,深圳-宝安区,python开发助理/实习生,大专,无需经验,0.8-1万/月
81,2021-12-28 14:00:32,杭州-拱墅区,软件工程师Java+Python,大专,3-4年经验,1-1.5万/月
82,2021-12-28 13:57:40,南京,Python开发工程师,大专,无需经验,6-8千/月
83,2021-12-28 13:57:40,深圳-福田区,Python高级开发工程师,大专,5-7年经验,1.5-3万/月
84,2021-12-28 13:56:18,深圳-南山区,Python开发工程师,大专,2年经验,1-1.7万/月
85,2021-12-28 13:55:21,深圳-南山区,PYTHON（自测方向）,大专,1年经验,1.2-1.9万/月
86,2021-12-28 13:53:38,上海-徐汇区,资深Python工程师,招1人,5-7年经验,4-5万/月
87,2021-12-28 13:53:15,深圳,初级Python开发工程师,本科,2年经验,0.8-1.2万/月
88,2021-12-28 13:47:52,佛山,Python开发工程师,本科,2年经验,0.8-1.2万/月
89,2021-12-28 13:42:28,苏州-工业园区,Python后端开发工程师,本科,3-4年经验,16-30万/年
90,2021-12-28 13:39:17,上海-闵行区,Python开发工程师,大专,3-4年经验,1.5-3万/月
91,2021-12-28 13:37:30,武汉-洪山区,Python开发工程师,大专,1年经验,6-8千/月
92,2021-12-28 13:36:21,广州-番禺区,python开发工程师(算法方向）,本科,1年经验,1-2万/月
93,2021-12-28 13:32:20,上海-徐汇区,Python开发工程师,本科,1年经验,0.7-1.2万/月
94,2021-12-28 13:30:08,上海-静安区,Python后端软件工程师,本科,5-7年经验,1.3-2万/月
95,2021-12-28 13:27:45,合肥-高新区,Python Web 开发工程师助理,中专,1年经验,0.8-1万/月
96,2021-12-28 13:24:56,上海-浦东新区,Python开发工程师,大专,1年经验,6-8千/月
97,2021-12-28 13:18:12,深圳-光明区,Python开发工程师,大专,5-7年经验,1.5-2.5万/月
98,2021-12-28 13:04:59,北京-海淀区,Python开发工程师,本科,2年经验,1-1.8万/月
99,2021-12-28 13:00:05,上海-嘉定区,Python高级开发工程师,本科,2年经验,1.5-3万/月
100,2021-12-28 12:58:58,杭州-滨江区,Python开发工程师,本科,2年经验,0.8-1.3万/月
101,2021-12-28 12:54:17,广州-越秀区,Python开发工程师,大专,2年经验,0.8-1.2万/月
102,2021-12-28 12:33:07,深圳-龙华区,Python开发工程师-YE,大专,3-4年经验,1.8-2.5万/月
103,2021-12-28 12:23:48,深圳-罗湖区,Python开发工程师,大专,2年经验,1-1.6万/月
104,2021-12-28 12:15:40,北京-朝阳区,Python/C/C++/GO（北京）,本科,2年经验,1.3-2.5万/月
105,2021-12-28 12:14:19,上海,Python开发工程师,本科,2年经验,1-1.5万/月
106,2021-12-28 12:14:11,上海-浦东新区,Python开发工程师（区块链量化）,本科,3-4年经验,1.2-1.8万/月
107,2021-12-28 12:13:43,北京-海淀区,后端研发工程师(python/go),本科,1年经验,0.7-1.4万/月
108,2021-12-28 12:10:50,福州-闽侯县,Python中级开发工程师,本科,2年经验,0.8-1.5万/月
