,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002594.SZ,20211119,295.72,300.0,288.0,296.82,295.4,1.420000000000016,0.4807,175158.64,5144668.932
1,002594.SZ,20211118,294.8,298.88,290.0,295.4,296.85,-1.4500000000000455,-0.4885,129097.22,3802420.935
2,002594.SZ,20211117,300.0,303.24,294.0,296.85,293.51,3.340000000000032,1.138,163377.75,4875749.071
3,002594.SZ,20211116,294.0,297.69,288.0,293.51,294.94,-1.4300000000000068,-0.4848,151808.48,4462067.584
4,002594.SZ,20211115,306.78,306.78,290.44,294.94,306.78,-11.839999999999975,-3.8594,225372.24,6667949.87
5,002594.SZ,20211112,315.8,316.74,305.5,306.78,311.99,-5.210000000000036,-1.6699,148883.82,4590558.597
6,002594.SZ,20211111,313.0,316.99,308.05,311.99,310.26,1.7300000000000182,0.5576,138851.5,4327235.823
7,002594.SZ,20211110,314.0,315.6,301.58,310.26,320.69,-10.430000000000007,-3.2524,274878.5,8480095.668
8,002594.SZ,20211109,315.05,329.97,315.05,320.69,315.0,5.689999999999998,1.8063,203305.04,6580787.588
9,002594.SZ,20211108,308.09,319.61,307.0,315.0,314.0,1.0,0.3185,169849.47,5344230.944
10,002594.SZ,20211105,324.0,327.0,313.01,314.0,325.0,-11.0,-3.3846,194183.26,6178126.193
11,002594.SZ,20211104,311.13,329.0,309.03,325.0,303.01,21.99000000000001,7.2572,349964.34,11223980.65
12,002594.SZ,20211103,313.13,313.85,299.86,303.01,313.88,-10.870000000000005,-3.4631,197248.14,6017080.222
13,002594.SZ,20211102,310.0,319.8,307.64,313.88,302.0,11.879999999999995,3.9338,290087.4,9102548.555
14,002594.SZ,20211101,301.41,308.41,293.82,302.0,311.31,-9.310000000000002,-2.9906,284785.87,8570609.748
15,002594.SZ,20211029,305.13,313.76,293.77,311.31,307.98,3.329999999999984,1.0812,347159.58,10585996.588
16,002594.SZ,20211028,319.61,323.8,305.4,307.98,321.74,-13.759999999999991,-4.2767,298267.14,9334453.596
17,002594.SZ,20211027,313.0,326.73,311.28,321.74,319.01,2.730000000000018,0.8558,219067.77,7024365.486
18,002594.SZ,20211026,330.5,333.33,317.76,319.01,317.35,1.6599999999999682,0.5231,313244.34,10148404.49
19,002594.SZ,20211025,303.11,318.65,302.23,317.35,300.0,17.350000000000023,5.7833,335189.76,10469605.348
20,002594.SZ,20211022,292.2,301.0,289.0,300.0,287.01,12.990000000000009,4.526,336548.68,10022899.338
21,002594.SZ,20211021,291.0,292.6,284.01,287.01,290.6,-3.590000000000032,-1.2354,180625.75,5184267.795
22,002594.SZ,20211020,286.0,295.0,285.24,290.6,284.79,5.810000000000002,2.0401,217045.09,6300647.166
23,002594.SZ,20211019,288.0,294.91,284.0,284.79,285.92,-1.1299999999999955,-0.3952,193857.85,5581983.586
24,002594.SZ,20211018,284.25,288.63,280.04,285.92,283.33,2.590000000000032,0.9141,216213.78,6155818.958
25,002594.SZ,20211015,275.0,287.5,271.0,283.33,272.94,10.389999999999986,3.8067,287845.05,8089636.933
26,002594.SZ,20211014,271.0,275.99,268.14,272.94,271.2,1.740000000000009,0.6416,177799.32,4844827.927
27,002594.SZ,20211013,257.01,273.6,254.33,271.2,257.01,14.189999999999998,5.5212,321978.1,8631470.872
