price,introduction,icon
59.00,【JD自营-官方认证】苹果快充数据线【（买一送一）,数锐京东自营旗舰店
9.90,适用华为Type-c数据线快充5A手机充电器线p20p30pro mate30/40荣耀安卓小米承简 【5A超级快充】type-c闪充线【1米】,金合辉手机配件专营店
9.60,OKSJ Type-c数据线快充华为小米手机充电器线5A支持40w荣耀9/10/nova8/Mate40Pro/P30/P20/vivo/oppo安卓车载,OKSJ京东自营旗舰店
16.90,绿联 Type-C数据线6A超级快充100W/66W通用华为充电线P50/Mate40荣耀60Pro/50小米11USB-C安卓5A线车载1m,绿联京东自营旗舰店
10.90,适用华为Type-c数据线快充5A充电器线p30 50pro/mate30/40荣耀60小米手机驰界 【1米】Type-C 5A闪充线,佰特利手机配件专营店
39.00,"京东超市
倍思Type-C数据线66W超级快充华为充电线6A/5A适用P50/Mate40Pro小米荣耀 钨金快充Type-C66W 2m",倍思旗舰店
39.90,⚡苹果原配⚡20w快充头+快充线✅套装✅不弹窗✅PD快充,KOOLIFE京东自营旗舰店
6.80,昊微 安卓数据线5A超级快充Micro USB手机充电器线适用vivo华为小米魅族荣耀oppo闪充线 安卓超级快充线【1条装】 1米,昊微手机配件专营店
18.80,KOOLIFE 数据线三合一 苹果安卓手机充电器线一拖三头分车载多功能用USB/Type-c二合一3双接口快充线通用华为,KOOLIFE京东自营旗舰店
39.90,倍思 三合一数据线6A快充66W 适用苹果Type-c安卓手机充电器线iPhone13/12/11小米华为一拖三充电线黑,倍思（Baseus）京东自营旗舰店
13.90,适用6A华为数据线Type-c快充66W充电线充电器头mate40Pro/p50/nova8荣耀驰界 【6A超级快充】Type-C闪充线【1米】,佰特利手机配件专营店
19.00,"京东超市
华为原装数据线mate8/7适用于荣耀7i/7c/6/p8/p7/6x/5x/8x麦芒4安卓充电器线 (1.0米白色 提速50%)快充Micro",华为鑫楚天专卖店
29.90,易天易修易购苹果快充数据线充电线iPhone13/12/11/X/8手机PD快充线闪充线 20WPD快充1.2米,易天易修易购旗舰店
18.00,"京东超市
vivo原装数据线闪充充电线X21X23X20X9X7u1安卓快充y70y67y85y53y31u1 vivo原装闪充",iQOO华驰诚专卖店
18.80,罗马仕 数据线三合一苹果Type-c安卓手机充电线多功能一拖三头适用苹果/小米华为荣耀三星vivo 1.5米车载多用,罗马仕京东自营旗舰店
9.50,领臣 安卓数据线快充手机充电线 华为荣耀vivo/oppo/小米/三星/红米/USB Micro车载电源线通用 1.2米两条装,领臣京东自营旗舰店
26.00,小米 原装USB-C数据线100cm 6A充电线白色 适配USB-C接口手机笔记本/平板电脑游戏机xiaomi红米redmi,小米京东自营旗舰店
19.90,品胜（PISEN）苹果数据线1.2米快充 适用iPhone13/12Pro Max/11/Xs/XR/8手机车载充电线器 iPadPro/Air/mini,品胜京东自营旗舰店
39.90,"京东超市
苹果数据线厡装充电线快充手机充电器线插头iphone13/12/11/XS/XR/7/X/8P索弘 USB-lightning扁口充电头线-苹果1米线",索弘京东自营官方旗舰店
17.80,三合一5A快充数据线一拖三66W支持苹果iphone华为Type-c安卓小米oppo手机充电驰界 【5A超级快充】三合一,安联手机配件专营店
39.00,罗马仕数据线三合一6A快充66W充电线器苹果iPhone13/12/11Type-c安卓手机多功能一拖三头小米华为车载,罗马仕京东自营旗舰店
5.80,浪翔 三合一数据线手机充电线适用于苹果iphone安卓type-c华为三星小米平板车载三头等通用 三合一液态快充线,浪翔旗舰店
15.00,vivo官方原装数据线闪充充电线y67z5xX21X20X23X9X7X6z3x充电器U1y85z1 Micro USB闪充线【标配版】单条装,钰威数码专营店
9.90,承简安卓数据线充电器线手机x9x20x21x23快充线适用于vivo华为oppo小米魅族荣耀红米车载 【1米2条】安卓闪充线【通用安卓梯形接口】,金合辉手机配件专营店
13.00,公牛 BULL 安卓数据线Micro USB充电器线 抗折断 适用三星小米红米/安卓手机,公牛数码京东自营旗舰店
30.80,倍思 Type-c数据线6A/66W充电器线快充线 适用华为P50/Mate40Pro/小米三星/荣耀2米黑,倍思（Baseus）京东自营旗舰店
44.00,"京东超市
华为原装5A数据线type-c充电器线快充P40P50P30Mate30荣耀30/pro/nova7 SuperCharge【5A闪充线】白色 华为",华为翼天宏配件专卖店
37.90,绿联 MFi认证 苹果数据线快充充电线适用iPhone13Pro Max/12/11/SE3/iPad/mini手机Lightning充电器USB电源线,绿联京东自营旗舰店
21.90,罗马仕 Type-c数据线6A/5A超级快充66W/40W适用华为P40/mate30/nova7荣耀30pro小米一加安卓充电车载加长2米,罗马仕京东自营旗舰店
68.00,图拉斯 数据线三合一苹果安卓华为type-c手机一拖三iphone快充oppo小米vivo车载充电线 1.68米 极夜黑【三头同充 / 省时便捷】,图拉斯京东自营旗舰店
29.90,易天易修易购苹果快充数据线充电线iPhone13/12/11/X/8手机PD快充线闪充线 20WPD快充1.2米,易天易修易购旗舰店
19.90,"京东超市
品胜 苹果数据线手机充电线器快充iPhone13/12pro max/11/XS/XR/8Plus/ 升级款快充【1米标准版】ios全兼容 安全快充",品胜PISEN自营旗舰店
45.00,"京东超市
华为原装6A数据线超级快充66W充电器线mate40pro p50p40p30nova8 9荣耀50 Type-C接口-白色1米【6A闪充线】",深刻思官方旗舰店
15.80,适用vivo数据线闪充iQoo Nex X27X30Z6S7S9s5X50手机快充充电线驰界 【1米2条】5A Type-C闪充线,佰特利手机配件专营店
19.90,罗马仕 数据线三合一苹果Type-c安卓手机充电器线车载适用iPhone12\/11小米华为电源线 三合一-太空灰-1.5米,罗马仕数码配件旗舰店
37.90,OKSJ 数据线三合一拖三充电器线苹果车载多功能type-c华为手机5A快充 小米/安卓/iPhone11/6 40w加长2米,OKSJ京东自营旗舰店
18.80,⚡快充⚡三合一数据线苹果安卓TYPE-C快充线,KOOLIFE京东自营旗舰店
145.00,Apple USB-C/雷霆3 转 Lightning/闪电连接线 快充线 (1 米) iPhone iPad 手机 平板 充电线 快速充电,Apple产品京东自营旗舰店
44.00,"京东超市
【OPPO原装】R17闪充数据线65w充电线reno6 5 Pro 4se findx k9 7 3 Type-c闪充线【65W闪充】 DL129原厂盒装",牧申数码官方旗舰店
