    ,交易日期      ,交易所,最低价   ,币种 ,涨跌   ,最高价   ,证券简称  ,开盘价   ,涨跌幅     ,成交金额          ,证券代码      ,成交数量      ,收盘价
0   ,2021-12-10,SZE,18.27 ,CNY,-0.32,18.7  ,平安银行  ,18.51 ,-1.7112 ,1824076523.04 ,000001-SZE,98925513  ,18.38
1   ,2021-12-10,SZE,20.01 ,CNY,-0.24,20.44 ,万  科Ａ ,20.2  ,-1.1765 ,1556669244.66 ,000002-SZE,77189000  ,20.16
2   ,2021-12-10,SZE,18.47 ,CNY,0.2  ,18.8  ,国华网安  ,18.6  ,1.0753  ,36540760.26   ,000004-SZE,1955488   ,18.8
3   ,2021-12-10,SZE,2.22  ,CNY,0.02 ,2.27  ,ST星源  ,2.24  ,0.8969  ,17749711.48   ,000005-SZE,7880782   ,2.25
4   ,2021-12-10,SZE,4.23  ,CNY,0.02 ,4.31  ,深振业Ａ  ,4.25  ,0.4684  ,45782119.66   ,000006-SZE,10696311  ,4.29
5   ,2021-12-10,SZE,5.71  ,CNY,0.02 ,5.85  ,*ST全新 ,5.82  ,0.3431  ,28870706.0    ,000007-SZE,4991340   ,5.85
6   ,2021-12-10,SZE,2.18  ,CNY,0.0  ,2.2   ,神州高铁  ,2.19  ,0.0     ,24763702.16   ,000008-SZE,11308117  ,2.19
7   ,2021-12-10,SZE,16.47 ,CNY,0.39 ,17.16 ,中国宝安  ,16.51 ,2.3395  ,1626431526.17 ,000009-SZE,95853882  ,17.06
8   ,2021-12-10,SZE,3.79  ,CNY,0.02 ,3.84  ,美丽生态  ,3.79  ,0.5263  ,16466768.2    ,000010-SZE,4316784   ,3.82
9   ,2021-12-10,SZE,10.84 ,CNY,0.11 ,11.04 ,深物业A  ,10.88 ,1.0064  ,51311228.42   ,000011-SZE,4687607   ,11.04
10  ,2021-12-10,SZE,10.1  ,CNY,-0.22,10.47 ,南  玻Ａ ,10.23 ,-2.1297 ,314018020.18  ,000012-SZE,30753795  ,10.11
11  ,2021-12-10,SZE,7.21  ,CNY,0.08 ,7.35  ,沙河股份  ,7.22  ,1.1034  ,7519417.4     ,000014-SZE,1029360   ,7.33
12  ,2021-12-10,SZE,6.43  ,CNY,-0.03,6.61  ,深康佳Ａ  ,6.46  ,-0.4573 ,91092482.8    ,000016-SZE,13945660  ,6.53
13  ,2021-12-10,SZE,3.53  ,CNY,0.07 ,3.63  ,深中华A  ,3.55  ,1.9774  ,13902969.28   ,000017-SZE,3875072   ,3.61
14  ,2021-12-10,SZE,6.71  ,CNY,-0.02,6.81  ,深粮控股  ,6.75  ,-0.2963 ,24423680.56   ,000019-SZE,3612948   ,6.73
15  ,2021-12-10,SZE,9.05  ,CNY,-0.19,9.49  ,深华发Ａ  ,9.49  ,-2.0563 ,22029657.85   ,000020-SZE,2378181   ,9.05
