level,retention_days,age,reg_source,address,income,education,total_orders,is_activity,sex,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
2,13,44,1,9,64.000,4,5,0.000,0,2,0,0,1,0,3.700,0.000,0.000,7.500,0.000,37.450,0.000,0.000,110.000,0.000,0,0,0,0,0,0,1,0,0,1.308,null,null,2.015,null,4.159,1,1
3,11,33,1,7,136.000,5,5,0.000,0,6,1,0,1,1,4.400,20.750,0.000,15.250,35.700,42.000,211.450,0.000,125.000,380.350,0,1,1,0,1,1,1,1,0,1.482,3.033,null,2.725,3.575,4.913,4,1
3,68,52,1,24,116.000,1,29,0.000,1,2,1,0,1,0,18.150,18.000,0.000,30.250,0.000,1300.600,1247.200,0.000,2150.000,0.000,0,0,0,0,1,1,0,1,0,2.899,2.890,null,3.409,null,4.754,3,0
2,33,33,0,12,33.000,2,0,0.000,1,1,0,0,0,0,9.450,0.000,0.000,0.000,0.000,288.800,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,2.246,null,null,null,null,3.497,1,1
2,23,30,1,9,30.000,1,2,0.000,0,4,0,0,0,0,6.300,0.000,0.000,0.000,0.000,157.050,0.000,0.000,0.000,0.000,0,0,0,0,1,0,1,1,0,1.841,null,null,null,null,3.401,3,0
2,41,39,0,17,78.000,2,16,0.000,1,1,1,0,1,0,11.800,19.250,0.000,13.500,0.000,487.400,798.400,0.000,570.000,0.000,0,0,0,0,1,1,0,0,0,2.468,2.958,null,2.603,null,4.357,3,0
3,45,22,1,2,19.000,2,4,0.000,1,5,0,0,1,0,10.900,0.000,0.000,8.750,0.000,504.500,0.000,0.000,415.000,0.000,1,0,0,1,0,1,0,0,1,2.389,null,null,2.169,null,2.944,2,1
2,38,35,0,5,76.000,2,10,0.000,0,3,1,1,1,1,6.050,45.000,50.100,23.250,64.900,239.550,1873.050,1820.900,880.000,2256.700,1,1,1,1,1,1,1,1,1,1.800,3.807,3.914,3.146,4.173,4.331,4,0
3,45,59,1,7,166.000,4,31,0.000,0,5,1,0,1,0,9.750,28.500,0.000,12.000,0.000,449.050,1240.150,0.000,505.000,0.000,1,0,0,0,1,1,1,1,0,2.277,3.350,null,2.485,null,5.112,3,0
1,68,41,1,21,72.000,1,22,0.000,0,3,0,0,1,0,24.150,0.000,0.000,16.500,0.000,1659.700,0.000,0.000,1155.000,0.000,1,0,0,0,0,0,0,0,0,3.184,null,null,2.803,null,4.277,2,0
2,5,33,0,10,125.000,4,5,0.000,1,1,0,1,0,0,4.850,0.000,26.150,0.000,0.000,17.250,0.000,110.100,0.000,0.000,0,0,1,1,0,0,0,0,1,1.579,null,3.264,null,null,4.828,1,1
3,7,35,0,14,80.000,2,15,0.000,1,1,1,0,1,0,7.100,22.000,0.000,23.750,0.000,47.450,166.100,0.000,145.000,0.000,0,1,0,0,1,1,1,1,0,1.960,3.091,null,3.168,null,4.382,3,0
1,41,38,1,8,37.000,2,9,0.000,1,3,0,0,1,0,8.550,0.000,0.000,41.750,0.000,308.700,0.000,0.000,1650.000,0.000,0,0,0,0,0,0,0,0,0,2.146,null,null,3.732,null,3.611,1,0
2,57,54,1,30,115.000,4,23,0.000,1,3,1,1,0,1,15.600,46.250,46.700,0.000,61.050,825.350,2624.250,2590.950,0.000,3348.850,1,1,1,1,1,1,1,1,1,2.747,3.834,3.844,null,4.112,4.745,4,1
2,9,46,0,3,25.000,1,8,0.000,1,2,0,0,0,0,4.400,0.000,0.000,0.000,0.000,36.800,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,1.482,null,null,null,null,3.219,1,0
1,29,38,1,12,75.000,5,1,0.000,0,4,0,1,1,0,5.100,0.000,30.250,11.250,0.000,146.250,0.000,780.800,295.000,0.000,1,0,0,1,0,0,0,0,0,1.629,null,3.409,2.420,null,4.317,2,0
3,60,57,0,38,162.000,2,30,0.000,0,1,1,1,1,0,16.150,29.750,31.300,30.000,0.000,946.900,1767.600,1788.950,1795.000,0.000,1,0,0,0,1,1,1,1,0,2.782,3.393,3.444,3.401,null,5.088,3,0
3,34,48,0,3,49.000,2,6,0.000,1,3,1,0,0,0,6.650,18.500,0.000,0.000,0.000,230.800,614.300,0.000,0.000,0.000,0,0,0,0,0,1,1,1,0,1.895,2.918,null,null,null,3.892,3,0
2,1,24,0,3,20.000,1,3,0.000,0,1,0,0,0,0,1.050,0.000,0.000,0.000,0.000,1.050,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.049,null,null,null,null,2.996,1,0
1,26,29,1,3,77.000,4,2,0.000,0,4,0,1,1,1,6.700,0.000,48.100,24.250,38.300,140.950,0.000,1132.800,610.000,910.100,1,1,0,1,1,1,1,1,1,1.902,null,3.873,3.188,3.645,4.344,4,1
3,6,30,0,7,16.000,3,1,0.000,1,1,0,1,0,1,3.750,0.000,33.800,0.000,18.700,25.650,0.000,175.300,0.000,78.200,1,0,1,1,0,1,0,0,0,1.322,null,3.520,null,2.929,2.773,2,1
