机构编号,医疗机构名称,医疗机构等级,医疗机构类型,医疗机构地址
H11010100975,北京市东城区第一人民医院,二级,中西医结合医院,北京市东城区永外大街130号，东晓市街109号
H11010100976,北京市东城区精神卫生保健院,二级,精神病医院,北京市东城区东直门外大街察慈小区7号楼
H11010100980,北京市鼓楼中医医院,三级,中医（综合）医院,北京市东城区豆腐池胡同13号
H11010100981,北京市和平里医院,三级,中西医结合医院,北京市东城区和平里北街18号、东城区和平西街19号楼一层12307号
H11010100982,北京医院,三级,综合医院,北京市东城区大华路1号;北京市东城区银闸胡同25号（三层）
H11010100983,北京中医药大学东直门医院北京中医药大学第一临床医学院,三级,中医（综合）医院,北京市东城区海运仓5号、台基厂3号、东四北大街279号、通州区翠屏西路116号、东直门北大街9号、北京市西城区西长安街80号、北京市东城区工体西路1号
H11010100984,首都医科大学附属北京妇产医院,三级,妇产（科）医院,北京市东城区骑河楼17号
H11010100985,首都医科大学附属北京中医医院,三级,中医（综合）医院,北京市东城区美术馆后街23号、61号；北京市东城区台基厂3号；丰台区西三环南路9号；海淀区中关村南大街17号1号楼；海淀区西四环中路16号院8号楼；朝阳区朝阳门南大街8号；朝阳区西大望路15号4号楼；朝阳区惠新东街甲6号；朝阳区朝阳门北大街22号；东城区北河沿大街147号；东城区和平里中街16号
H11010100986,中国医学科学院北京协和医院,三级,综合医院,北京市东城区王府井帅府园1号
H11010100987,北京安德中医医院,一级,中医（综合）医院,北京市东城区安德路甲10号院4号楼101室
H11010100988,北京安定门中医医院,一级,中医（综合）医院,北京市东城区安定门内大街47号
H11010100989,北京地坛口腔门诊部,未定级,口腔门诊部,北京市东城区青年湖北里10号楼一层106-107号
H11010100991,北京国龙中医医院,一级,中医（综合）医院,北京市崇文区珠市口东大街155号
H11010100992,北京国医堂中医研究院恒康中医门诊部,未定级,中医门诊部,北京市东城区东直门内北小街18号楼
H11010100993,北京国医药研究院天易中医门诊部,未定级,中医门诊部,北京市东城区金鱼池东区10号楼首层和半地下
H11010100994,北京华都中医医院,一级,中医（综合）医院,北京市东城区安化北里丙1号
H11010100995,北京健行中医医院,一级,中医（综合）医院,北京市东城区东四北大街248号
H11010100996,北京市崇文口腔医院,一级,口腔医院,北京市崇文区东花市北里西区24号楼
H11010100997,北京市东城金针研究学会海运仓中医门诊部,未定级,中医门诊部,北京市东城区东直门内南小街20号楼1号
H11010100998,北京市东城区东花市社区卫生服务中心,未定级,社区卫生服务中心,北京市东城区广渠家园13号楼
H11010101026,北京市东城区东花市街道铁辘轳把社区卫生服务站,未定级,社区卫生服务站,北京市东城区东花市大街33号
H11010101000,北京市东城区建国门社区卫生服务中心,未定级,社区卫生服务中心,北京市东城区后赵家楼胡同9号
H11010101027,北京市东城区东花市街道忠实里社区卫生服务站,未定级,社区卫生服务站,北京市东城区忠实里西区7号楼106
H11010101028,北京市东城区东花市街道东花市南里社区卫生服务站,未定级,社区卫生服务站,北京市东城区东花市南里东区13号楼107-108
H11010101029,北京市东城区东华门街道多福巷社区卫生服务站,未定级,社区卫生服务站,北京市东城区东四南大街报房胡同45
H11010101002,北京市东城区体育馆路社区卫生服务中心,未定级,社区卫生服务中心,北京市东城区法华南里25号楼西侧
H11010101010,应急管理部机关医务室,未定级,医务室,北京市东城区和平里北街21号
H11010101030,北京市东城区东华门街道台基厂社区卫生服务站,未定级,社区卫生服务站,北京市东城区台基厂二条3号
H11010101003,北京市东城区天坛社区卫生服务中心,未定级,社区卫生服务中心,"北京市东城区粉厂胡同57号,北京市东城区珠市口东大街2号107、108室"
H11010101011,中央戏剧学院医务室,未定级,医务室,北京市东城区东棉花胡同39号
H11010101031,北京市东城区东华门街道韶九社区卫生服务站,未定级,社区卫生服务站,北京市东城区韶九胡同22号
H11010101004,北京市东城区永定门外社区卫生服务中心,未定级,社区卫生服务中心,北京市丰台区蒲黄榆二里二号院
H11010101018,北京市东城区安定门社区卫生服务中心,未定级,社区卫生服务中心,北京市东城区永恒胡同6号
H11010101032,北京市东城区东华门街道东华门社区卫生服务站,未定级,社区卫生服务站,北京市东城区南河沿大街磁器库南巷1
H11010101019,北京市东城区北新桥街道青龙社区卫生服务站,未定级,社区卫生服务站,东城区北小街青龙胡同甲1号
�55号元隆大厦五层
H11010101033,北京市东城区东四街道南门仓社区卫生服务站,未定级,社区卫生服务站,北京市东城区朝阳门内北小街仓南胡同5号罗家大院1号
H11010101006,国家体育总局运动医学研究所体育医院,一级,其他专科医院,北京市崇文区体育馆路4号西门
H11010101020,北京市东城区北新桥街道十三条社区卫生服务站,未定级,社区卫生服务站,北京市东城区东四北大街168号内一层2112号
H11010101034,北京市东城区东四街道东四社区卫生服务站,未定级,社区卫生服务站,北京市东四北大街东四六条甲62号
H11010101008,北京市东城区和平里社区卫生服务中心,未定级,社区卫生服务中心,北京市东城区小黄庄一区9-1号，北京市东城区黄寺大街甲8号9楼
H11010101021,北京市东城区朝阳门街道大方家社区卫生服务站,未定级,社区卫生服务站,北京市东城区小牌坊胡同30号
H11010101009,首都医科大学中医门诊部,未定级,中医门诊部,北京市东城区东四十条27号
H11010101035,北京市东城区东直门街道十字坡社区卫生服务站,未定级,社区卫生服务站,北京市东城区东直门外十字坡西里10号楼北
H11010101022,北京市东城区朝阳门街道朝内头条社区卫生服务站,未定级,社区卫生服务站,北京市东城区朝内大街203号
H11010101023,北京市东城区朝阳门街道内务社区卫生服务站,未定级,社区卫生服务站,北京市东城区内务部73号
H11010101024,北京市东城区朝阳门社区卫生服务中心,未定级,社区卫生服务中心,北京市东城区东四南灯草胡同31号
H11010101025,北京市东城区崇文门外街道新景家园社区卫生服务站,未定级,社区卫生服务站,北京市东城区西花市大街62、64号
H11010101056,北京市东城区体育馆路街道法华寺社区卫生服务站,未定级,社区卫生服务站,北京市东城区体育馆西路1号
H11010101057,北京市东城区体育馆路街道长青园社区卫生服务站,未定级,社区卫生服务站,北京市崇文区长青园16号楼迤南2-2-1-72-29
H11010101058,北京市东城区前门街道前门社区卫生服务站,未定级,社区卫生服务站,北京市东城区草厂六条4号
H11010101059,北京市东城区龙潭街道幸福家园社区卫生服务站,未定级,社区卫生服务站,北京市崇文区幸福家园19号楼1101、1102
H11010101060,北京市东城区龙潭街道左安门社区卫生服务站,未定级,社区卫生服务站,北京市崇文区左安浦园1号楼旁平房
H11010101061,北京市东城区交道口街道圆恩寺社区卫生服务站,未定级,社区卫生服务站,北京市东城区板厂胡同30号院内西南角内院41-66号
H11010101062,北京市东城区景山街道吉祥社区卫生服务站,未定级,社区卫生服务站,北京市东城区水簸箕胡同甲5号-1
H11010101063,北京市东城区景山街道宽街社区卫生服务站,未定级,社区卫生服务站,北京市东城区美术馆后街12号
H11010101913,国务院国有资产监督管理委员会冶金机关服务中心医务室,未定级,医务室,北京市东城区东四西大街46号
H11010101954,北京市东城区建国门街道苏州社区卫生服务站,未定级,社区卫生服务站,北京市东城区崇文门内大街苏州胡同120号;北京市东城区北京站东受禄街28号
H11010101046,北京市东城区急救站,未定级,急救站,北京市东城区中绦胡同甲2号
H11010101047,北京市东城区中医药学会东单中医门诊部,未定级,中医门诊部,北京市东城区广渠家园8号楼一层101/102/103单元、北京市东城区张自忠路10号-1至1层1-1012—1-1015
H11010101048,北京市东城区永定门外街道富莱茵社区卫生服务站,未定级,社区卫生服务站,北京市崇文区沙子口路72号富莱茵小区9-1-101
H11010101049,北京市东城区永定门外街道东革新里社区卫生服务站,未定级,社区卫生服务站,北京市崇文区东革新里40号
H11010101050,北京市东城区永定门外街道永建里社区卫生服务站,未定级,社区卫生服务站,北京市东城区永定门西滨河路8号院8-2底商
H11010101051,北京市东城区永定门外街道景泰西里社区卫生服务站,未定级,社区卫生服务站,北京市崇文区景泰西里西区8号楼底商
H11010101052,北京市东城区口腔医院,未定级,口腔医院,北京市东城区东四北大街490号
H11010101053,北京市东城区天坛街道天坛南里社区卫生服务站,未定级,社区卫生服务站,北京市崇文区永内东街西里11号
H11010101054,北京市东城区天坛街道金鱼池社区卫生服务站,未定级,社区卫生服务站,北京市崇文区金鱼池小区西区13楼1单元001，002，101，102室和16楼5单元103，104室。北京市东城区珠市口东大街2号大厦109室
H11010101055,北京市东城区天坛街道天坛东里社区卫生服务站,未定级,社区卫生服务站,北京市崇文区天坛东里南区79号
H11010101036,北京市东城区东直门街道清水苑社区卫生服务站,未定级,社区卫生服务站,北京市东城区东直门北大街乙4号楼
H11010101037,北京市东城区东直门街道新中街社区卫生服务站,未定级,社区卫生服务站,北京市东城区新中西里6号楼迤北平房
H11010101038,北京市东城区东直门街道王家园社区卫生服务站,未定级,社区卫生服务站,北京市东城区王家园胡同37号院1号楼一层
H11010101039,北京市东城区和平里街道安德里社区卫生服务站,未定级,社区卫生服务站,北京市东城区安德里北街21号
H11010101040,北京市东城区和平里街道青年湖社区卫生服务站,未定级,社区卫生服务站,北京市东城区青年湖东里9号楼北
H11010101041,北京市东城区和平里街道和平里中街社区卫生服务站,未定级,社区卫生服务站,北京市东城区和平里六区六号一层
H11010101042,北京市东城区和平里街道安德路社区卫生服务站,未定级,社区卫生服务站,北京市东城区安外青年湖南街11号
H11010101043,北京市东城区和平里街道和平里社区卫生服务站,未定级,社区卫生服务站,北京市东城区和平里北街18号西门
H11010101044,北京市东城区和平里街道交通社区卫生服务站,未定级,社区卫生服务站,北京市东城区交林夹道甲2号
H11010101045,北京市东城区和平里街道东河沿社区卫生服务站,未定级,社区卫生服务站,北京市东城区东河沿甲7号
H11010101955,北京市东城区建国门街道外交部街社区卫生服务站,未定级,社区卫生服务站,东城区外交部街胡同1号及甲
